Games Played,Rapid ELO
326,727
2698,985
87,682
735,645
487,699
247,1105
3001,1042
824,1124
2440,1115
55,220
4255,1092
54,290
1396,790
1165,1027
985,707
269,411
246,463
166,907
58,543
758,900
79,258
134,740
97,548
2887,955
110,201
242,890
198,254
6895,1464
311,737
42,574
689,495
545,1091
1692,1559
123,885
58,2465
23,542
761,1407
605,768
658,643
101,648
74,555
1796,1380
49,689
260,635
36,386
365,612
207,1054
2057,944
9299,669
127,293
15,1042
1259,1067
647,1066
1334,1302
39,1206
2344,435
86,364
1055,873
1051,840
18,488
1488,1339
59,1157
22,302
897,1183
373,431
11,297
142,637
40,100
36,226
625,748
17,888
30,384
40,264
12,525
15,194
195,127
1824,1319
186,347
88,1306
45,376
1567,1468
229,566
71,144
3180,1262
68,646
106,194
36,1253
5643,1264
46,224
2411,1501
221,234
5459,1807
18,669
29,285
277,771
430,1399
267,2404
290,632
19,2029
151,1665
1305,929
1137,888
14,198
198,671
102,341
31,875
63,1430
222,1711
4256,877
97,1013
908,1485
2024,1264
368,1280
5116,1355
6047,1018
17,211
710,1202
969,2032
519,1007
677,742
910,1269
343,1156
84,214
244,371
1046,1523
1632,1028
18,142
17,749
19,513
21,788
1148,719
173,687
293,629
370,1059
3300,627
54,299
25,746
1812,848
15,100
657,2207
31,210
240,1381
1682,831
1508,770
443,424
19,229
13,313
386,380
76,604
81,195
1396,1354
165,620
26,260
22,464
12749,1498
157,368
1845,965
92,1397
226,609
67,856
943,559
290,2333
150,1088
17,325
120,339
1008,1684
4285,1227
139,637
83,1502
26,863
13,106
92,842
311,570
240,2355
821,715
13,588
704,1121
25,847
589,651
1512,1079
134,276
16,560
3141,563
390,163
2138,1489
1338,902
1548,1134
53,490
536,804
673,981
19,496
63,1647
133,264
3126,740
3463,985
840,1503
2772,1062
116,535
14,116
80,1358
179,855
50,466
1730,1429
241,721
5377,830
669,728
13,131
178,324
181,696
467,634
331,879
402,462
94,1188
385,2472
65,232
16,787
171,780
73,229
711,385
172,294
7456,1724
3707,1023
801,271
15771,841
52,1921
689,1810
15,962
28,334
16,2021
33,490
977,846
78,362
77,365
35,431
808,746
87,211
24,198
109,411
707,602
1507,990
7690,1139
127,1151
210,1623
133,1098
102,2379
294,639
26,1006
1661,1452
512,2367
291,403
19,364
2360,1403
26,392
430,1336
687,1088
53,619
346,289
905,925
916,705
1475,1484
256,562
24,504
171,383
322,1593
33,678
4850,673
11,481
62,210
17,329
1207,660
1342,1734
1131,1187
1680,648
36,333
39,1032
289,542
817,1242
903,1348
210,461
13,315
371,1026
109,1149
426,669
651,1682
226,493
11,116
132,1429
69,932
627,1171
13,107
122,1308
2470,1030
74,668
653,2034
33,154
15,157
14,1009
44,1382
62,410
710,1879
100,665
25,237
450,1007
229,200
36,789
16,621
10384,1374
128,1308
69,731
391,866
119,887
12774,1414
4806,1583
737,1488
11,136
65,430
8564,1134
96,2044
673,400
306,431
213,1320
173,485
630,945
60,274
75,723
12,615
94,200
729,803
59,765
225,1165
359,565
90,774
81,287
28,300
20,555
479,967
33,410
546,568
52,206
2136,849
6769,1414
31,173
11,1010
428,349
957,1806
732,815
131,560
2425,1018
1553,972
300,703
1393,1475
203,464
8051,1346
30,537
130,217
217,1191
146,1191
253,494
78,451
16,615
165,566
76,585
1244,1207
137,945
30,1411
436,1625
27,401
431,669
115,735
6854,1555
3302,1357
61,1145
385,523
280,951
254,511
136,579
569,551
615,1031
26,296
628,1532
19,439
148,525
238,490
539,839
302,703
68,538
248,1795
279,471
39,685
1282,1512
1575,1306
11,2302
2184,1420
171,843
347,591
65,1243
116,590
40,619
21,1312
52,1850
269,255
1713,404
12,757
1098,934
11,541
18,350
69,754
214,457
292,273
29,350
56,727
121,1071
36,661
679,847
67,993
15,188
21,910
1742,687
19,410
1070,1140
12,719
584,1113
711,360
1605,1172
1313,616
12,426
23,832
403,820
127,1457
10825,1463
12,500
24,457
19,1108
3524,625
18,190
1306,644
142,588
11,975
60,741
88,767
251,819
59,484
14,1733
573,1049
17,486
152,1687
27,1081
55,355
36,219
33,472
140,1354
367,820
2944,1060
27,265
397,1103
640,742
1278,831
3215,1179
25,297
784,867
159,191
92,461
20,156
81,364
24,986
171,2046
16,812
373,920
791,937
119,216
38,213
14179,1370
1029,1264
358,1370
1987,1452
820,725
24,1413
2436,1177
33,208
2833,1037
218,601
145,1023
13,486
36,403
216,461
34,166
22,1939
109,252
88,117
176,1856
171,348
34,167
17,336
349,444
49,1117
32,195
21,893
